INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (1, 'Novita Wastuti', 'UNIVERSITAS MALUKU', 'Blaise.Widodo@gmail.com', 'FCILnxowDSvIx7d')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (2, 'Candrakanta Narpati', 'UNIVERSITAS SULAWESI SELATAN', 'Kayden_Anandya@gmail.com', '0JfbmUk9TDOUKrr')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (3, 'Jane Kusuma', 'UNIVERSITAS JAMBI', 'Johanna.Mangunsong@yahoo.com', 'XHEWiVjIX5BpMNq')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (4, 'Gada Pangestu', 'UNIVERSITAS BANGKA BELITUNG', 'Marisa99@yahoo.co.id', 'RRM5FdLBtOnddW8')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (5, 'Saiful Supriyanto', 'UNIVERSITAS MALUKU', 'Mohammed62@yahoo.com', 'O4_AzRDDzZLmgnQ')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (6, 'Galak Najmudin', 'UNIVERSITAS NUSA TENGGARA BARAT', 'Ila53@gmail.co.id', 'M9O1QOx2U4WXHiQ')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (7, 'Viktor Permadi', 'UNIVERSITAS RIAU', 'Aditya39@yahoo.co.id', 'gTmbedphjobnv38')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (8, 'Lurhur Syahreza', 'UNIVERSITAS JAWA BARAT', 'Juvenal91@yahoo.com', 'taWUxjuEisFHqoz')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (9, 'Karimah Pratiwi', 'UNIVERSITAS SULAWESI TENGAH', 'Eino47@yahoo.com', 'K0NP1pfH_MMvxJV')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (10, 'Mustika Wibisono', 'UNIVERSITAS NUSA TENGGARA TIMUR', 'Helmer.Hariyah@yahoo.com', 'HS9nnmu1KO8hvsb')
INSERT INTO anggota (ag_id, ag_nama, ag_institusiasal, ag_email, ag_password) VALUES (11, 'Cinta Rahayu', 'UNIVERSITAS KALIMANTAN TENGAH', 'Blaze74@gmail.com', '4cVcGClj7fVlAZ3')
