INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (1, NULL, 'Anggabaya Herlambang', 'UNIVERSITAS SULAWESI TENGAH', 'Angeline95@gmail.co.id', '1267640312452474')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (2, NULL, 'Violet Fathina', 'UNIVERSITAS ACEH', 'Cornell_Habibi79@yahoo.co.id', '3328374464542724')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (3, NULL, 'Hadi Wacana', 'UNIVERSITAS BALI', 'Adela37@yahoo.com', '1407113713838703')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (4, NULL, 'Akarsana Pangestu M.M.', 'UNIVERSITAS KALIMANTAN SELATAN', 'Hayley.Putri98@yahoo.com', '7221154750588455')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (5, 1, 'Halim Manullang', 'UNIVERSITAS SULAWESI TENGGARA', 'Haylie55@yahoo.co.id', '8704321482132078')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (6, NULL, 'Indah Melani', 'UNIVERSITAS KALIMANTAN SELATAN', 'Joey_Handayani43@yahoo.co.id', '6902379130588002')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (7, NULL, 'Olga Wasita M.Ak', 'UNIVERSITAS DI YOGYAKARTA', 'Nicolas11@yahoo.co.id', '3970765899623699')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (8, NULL, 'Ghaliyati Hastuti', 'UNIVERSITAS NUSA TENGGARA TIMUR', 'Merle9@gmail.com', '4889491223711137')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (9, NULL, 'Rahmat Aswandi', 'UNIVERSITAS JAWA TIMUR', 'Liliana69@gmail.co.id', '2330844287288719')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (10, 2, 'Ciaobella Melinda M.Pd', 'UNIVERSITAS KEPULAUAN RIAU', 'Walker85@yahoo.com', '6526139158028069')
INSERT INTO peneliti (p_id, pu_id, p_nama, p_instansi, p_email, p_nik) VALUES (11, NULL, 'Cakrawangsa Saptono', 'UNIVERSITAS PAPUA', 'Suzanne.Mangunsong57@gmail.co.id', '8973363084771334')
